,target,feature,weight,value
310,Transfer, White,-0.0017211314668854657,0.0
311,Transfer, Non-Sporting,-0.0031017196730656967,0.0
312,Transfer, April,-0.0031770982396501887,0.0
313,Transfer, December,-0.003413295932285874,0.0
314,Transfer, Toy,-0.0043173567068172086,0.0
315,Transfer, August,-0.00442499980368416,0.0
316,Transfer, Hound,-0.004531025134399728,0.0
317,Transfer, 2013,-0.005186949092841018,0.0
318,Transfer, Intact,-0.006147849590975845,0.0
319,Transfer, Kitten,-0.01009625982535963,1.0
320,Transfer, October,-0.011720412593125992,0.0
321,Transfer, September,-0.017077587558327667,0.0
322,Transfer, 2014,-0.018501201154120725,0.0
323,Transfer, Puppy,-0.019113330350093966,0.0
324,Transfer, Named,-0.024692733748918613,1.0
325,Transfer, Owner Surrender,-0.04931446032577336,0.0
326,Transfer, Adult Cat,-0.10472703290957312,0.0
327,Transfer, Semi-Longhair,-0.11091102848606527,1.0
328,Transfer,Age_upon_Outcome,-0.18476717447903357,-0.6820268019871176
329,Transfer, Neutered,-0.26185007312743946,1.0
330,Transfer,Age_upon_Intake,-0.28316887305763905,-0.6988071980700409
